Collection_Date,Intake_Date,Site,Species,Prop_ID,Treatment,Diameter,Epi_Length,Hypo_Length,Total_Height,Mass,Hypo_Color,Roots,RHMA_Height_1,RHMA_Height_2,Rooting_Tip,Data_Collecters,Date_Uploaded,Data_Uploaders,Notes
10/25/2024,10/25/2024,OC,RHMA,RA-17,A,13.4,1.8,34.6,36.4,30.56,G,Y,22.4,19.9,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-18,A,14.5,2,40,42,28.7,G,Y,25,22.8,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-19,A,12.5,1.9,34.5,36.4,27.63,G,Y,21.7,19,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-20,A,13,1.8,37.3,39.1,31.41,G,Y,25.5,22.5,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RB-1,B,11.1,1.5,29.5,31,23.57,G,N,23.6,21,,"KR,ES",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RB-2,B,12.4,2,35,37,37.65,G,N,25.8,22.7,,"KR,ES",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RB-3,B,10.9,1.6,37,38.6,28.54,G,Y,29.2,26,,"KR,ES",10/25/2024,LG,
10/25/2024,10/28/2024,OC,RHMA,RB-4,B,13.6,1.7,45.5,47.2,42.04,G,N,36.3,33.3,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-5,B,12.6,1.9,35.1,37,26.75,G,N,24.2,20.7,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-6,B,13,1.8,35.9,37.7,29.5,G,Y,26.5,21.7,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-7,B,13.8,1.8,31.8,33.6,27.07,G,N,23,18.8,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-8,B,13.1,2,31,33,24.58,G,Y,22.5,19.7,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-9,B,13.3,1.6,33.6,35.2,27.9,G,N,23.4,20.3,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-10,B,13.8,1.7,38.3,40,34.32,G,Y,29.5,26.2,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-11,B,15,1.5,33.5,35,34.41,G,Y,25,22.2,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-12,B,12.3,1.7,32.7,34.4,23.87,G,N,21.9,19.2,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-13,B,13.5,1.8,33,34.8,27.28,G,Y,23.6,19.5,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-14,B,12.7,2,38,40,28.72,G,Y,27,23.2,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-15,B,12.3,2,36.4,38.4,25.62,G,N,20,19.7,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-16,B,12.2,1.4,29,30.4,22.89,G,N,19.8,16.9,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-17,B,12.8,1.5,35.2,36.7,28.56,G,Y,25.4,21.7,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-18,B,13.2,1.4,33.2,34.6,26.8,G,Y,22.8,19.6,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-19,B,12.5,1.5,35.7,37.2,27.16,G,Y,23.3,20.2,,"HH,DN",10/28/2024,HH,
10/25/2024,10/28/2024,OC,RHMA,RB-20,B,12.8,1.7,35.5,37.2,28.31,G,Y,26,21.9,,"HH,DN",10/28/2024,HH,
10/26/2024,10/29/2024,CP,RHMA,RB-21,B,12.4,1.7,39.2,40.9,29.2,G,Y,32,28.8,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-22,B,12.4,1.6,32.2,33.8,25.24,G,Y,23.5,20.1,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-23,B,11.3,1.7,26.5,28.2,16.52,G,N,20.1,16,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-24,B,13.2,2,37,39,32.82,G,Y,24,20.1,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-25,B,12.1,1.6,30.2,31.8,23.5,G,Y,21.5,17.6,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-26,B,12.7,1.5,31.9,33.4,26.09,B,Y,24,20.1,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-27,B,12.3,1.9,30.5,32.4,25.73,G,Y,22.2,18.3,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-28,B,10.6,0.9,27.3,28.2,13.92,G,Y,19.5,15.4,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-29,B,10.1,1.7,27.1,28.8,14.65,G,Y,19.1,15,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-30,B,11,1.9,25.6,27.5,15.47,G,Y,17,13.8,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-31,B,11.5,1.5,27.2,28.7,20.56,G,Y,19.1,16,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-32,B,11,2,24.6,26.6,16.82,G,Y,15.1,12.5,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-33,B,12.5,2.2,40.1,42.3,32.53,G,Y,32.6,29,,,,ES,
10/26/2024,10/29/2024,CP,RHMA,RB-34,B,10,2,26.3,28.3,19.25,G,Y,17,13,,,,,
10/26/2024,10/29/2024,CP,RHMA,RB-35,B,11,1.7,32.3,34,23,G,Y,20.1,16.2,,,,,
10/26/2024,10/29/2024,CP,RHMA,RB-36,B,8.4,1.7,27.1,28.8,18.55,G,Y,16.6,14,,,,,
10/26/2024,10/29/2024,CP,RHMA,RB-37,B,12.6,2,36,38,33.35,G,Y,29.4,25.1,,,,,
10/26/2024,10/29/2024,CP,RHMA,RB-38,B,9.7,1.8,27.5,29.3,20.27,G,Y,19.6,15.3,,,,,
10/26/2024,10/29/2024,CP,RHMA,RB-39,B,10.1,1.5,27.1,28.6,20.54,G,Y,20.7,15.3,,,,,
10/26/2024,10/29/2024,CP,RHMA,RB-40,B,9.7,1.4,26.6,28,17.82,G,Y,17,12.4,,,,,
10/26/2024,10/29/2024,PR,RHMA,RB-41,B,13.4,2,33.5,35.5,25.64,G,Y,26.2,23.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-42,B,11.2,1.9,28.8,30.7,21.06,G,N,21.4,18.7,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-43,B,13.6,2,37.5,39.5,29.38,G,N,26,23.1,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-44,B,15.4,2,31.4,33.4,29.29,G,N,23.5,20.7,S,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-45,B,11.7,2,30.2,32.2,19.26,G,N,22.4,19.4,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-46,B,13,1.8,31.2,33,22.83,G,N,22.1,19.4,S,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-47,B,13.8,1.6,27.6,29.2,19.79,G,N,20.4,18.1,S,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-48,B,14,1.3,28.4,29.7,26.04,G,N,20.3,18.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-49,B,14.5,2,34.9,36.9,34.59,G,N,24.3,21.4,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-50,B,15.6,1.9,38,39.9,37.91,G,Y,27.8,24.4,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-51,B,13.7,1.6,26.5,28.1,21.11,G,N,19.4,16.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-52,B,14,1.8,28.6,30.4,23.39,G,N,18.3,16.3,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-53,B,13.9,1.8,31.4,33.2,26.87,G,N,21.9,19.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-54,B,11.6,1.9,32.6,34.5,21.32,G,N,22.9,20.1,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-55,B,13.6,1.8,31.2,33,22.69,G,N,21.8,19.3,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-56,B,14.1,1.8,32.1,33.9,27.28,G,N,21.3,19.7,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-57,B,14.2,2,35.5,37.5,27.1,G,N,25.2,21.9,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-58,B,14.3,1.8,33.8,35.6,27.04,G,N,22.4,20.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-59,B,14.1,2,35.2,37.2,28.7,G,N,22.3,19.7,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RB-60,B,14.3,1.8,32,33.8,25.11,G,N,24.2,21.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-41,C,13.8,1.8,31.5,33.3,26.41,G,N,23.1,19.2,S,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-42,C,13.7,1.7,31.6,33.3,22.39,G,N,25.2,21,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-43,C,13.8,1.9,37,38.9,27.72,G,N,29.5,24.3,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-44,C,13.6,2,36.2,38.2,27.76,G,N,28,23.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-45,C,14.5,2,34.4,36.4,28.22,G,N,23.7,20,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-46,C,15.2,2,32,34,30.49,G,N,25.5,20.7,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-47,C,15.4,2.1,33.7,35.8,30.95,G,N,26.6,21.7,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-48,C,14.7,2.1,39.2,41.3,33.83,G,Y,32.9,25.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-49,C,13,1.9,28.2,30.1,21.34,G,Y,21.6,18.4,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-50,C,14.2,2,39.1,41.1,34,G,N,30,26.6,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-51,C,13,2,33.2,35.2,26.03,G,N,23.5,20,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-52,C,12.7,1.9,28.9,30.8,19.51,G,N,21.3,17.6,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-53,C,15,1.7,38.1,39.8,35.82,G,N,31.4,27.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-54,C,15.7,2.3,40,42.3,39.27,G,Y,29.1,26.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-55,C,14.6,2.4,43.2,45.6,37.26,G,N,36.1,31.6,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-56,C,13.8,1.6,28.5,30.1,23.21,G,N,23.7,18.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-57,C,14.8,2,35.7,37.7,30.42,G,N,31.3,27.1,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-58,C,13.6,1.7,31,32.7,22.41,G,N,25.3,21.5,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-59,C,14.3,2,34.7,36.7,27.62,G,N,28.5,25,B,"AR,MG",DIRECT UPLOAD,AR,
10/26/2024,10/29/2024,PR,RHMA,RC-60,C,12.6,1.6,25.7,27.3,16.88,G,N,22.1,17.9,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-1,C,12.3,1.8,36.3,38.1,28.85,G,Y,27.3,23,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-2,C,12.2,1.5,33.9,35.4,26.18,G,Y,25,21.3,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-3,C,12.7,1.3,36.4,37.7,30.27,G,Y,30,25.4,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-4,C,11.1,1.5,37.4,38.9,27.34,G,N,29.5,23.9,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-5,C,12.6,1.8,37.9,39.7,33.19,G,Y,28.1,24.5,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-6,C,13.2,1.6,37.7,39.3,31.46,G,Y,30,26,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-7,C,12.6,1.8,39.9,41.7,33.37,G,Y,27.1,22.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-8,C,13,2,35.8,37.8,29,G,Y,24.8,22.2,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-9,C,12.4,1.7,37.4,39.1,28.88,G,Y,29.9,24,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-10,C,13.2,1.8,38.2,40,36.59,B,N,27.5,22.7,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-11,C,11.4,1.9,32.6,34.5,21.46,G,Y,26.1,20,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-12,C,12.8,1.5,31,32.5,25.32,G,N,21.6,16.5,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-13,C,12.6,2,35.6,37.6,29.75,G,N,26.7,20.5,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-14,C,13.5,1.9,40.5,42.4,32.08,G,Y,29.7,21.9,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-15,C,13.4,1.7,38.3,40,35.06,G,Y,30,24,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-16,C,12,1.3,26.6,27.9,19.29,G,N,18.4,12.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-17,C,12.3,1.5,35.2,36.7,26.5,G,Y,29,22.9,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-18,C,11.3,1.3,26.3,27.6,16.42,G,N,18.2,14.9,S,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-19,C,12.3,1.6,38,39.6,30.21,G,N,28.8,23.8,B,"AR,MG",DIRECT UPLOAD,AR,
10/25/24,10/29/2024,OC,RHMA,RC-20,C,13.4,1.9,36.7,38.6,31.6,G,Y,29,22.1,B,"AR,MG",DIRECT UPLOAD,AR,
10/26 and 10/27,10/29/2024,CP,RHMA,RC-21,C,13.1,2,36.5,38.5,27.34,G,Y,28.9,24.6,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-22,C,9.9,1.5,24.6,26.1,11.56,G,N,16.5,14.3,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-23,C,12.2,1,28.7,29.7,22.31,G,Y,18.9,13.1,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",BROWN SPOT
10/26 and 10/27,10/29/2024,CP,RHMA,RC-24,C,11.8,1.7,27.5,29.2,19.92,G,Y,21.8,17.1,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-25,C,12.8,2,33.6,35.6,24.85,G,Y,24.5,20.2,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-26,C,13.3,1.9,32.3,34.2,26.11,G,N,22.9,19.4,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-27,C,12.9,2.1,32.8,34.9,27.23,G,Y,25.1,21.1,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-28,C,12.4,1.1,35.5,36.6,24.95,G,Y,26.7,22.5,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",SMALL CRAB BITE
10/26 and 10/27,10/29/2024,CP,RHMA,RC-29,C,13,1.5,33.9,35.4,27.1,G,Y,23.6,19.9,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-30,C,13.7,1.6,31,32.6,28,G,Y,24,19.4,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-31,C,14.6,1.5,29.4,30.9,32.13,G,N,18.6,14.6,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-32,C,11.9,1.6,27.6,29.2,21.43,G,N,18.1,14.9,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-33,C,12.4,1.7,31.2,32.9,24.78,G,Y,21.2,17.1,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-34,C,12.2,2,33,35,25.45,G,Y,21,16.6,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-35,C,10.2,1.5,25,26.5,15.25,G,N,14.9,10.7,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-36,C,11.9,1.4,34.1,35.5,25.63,G,N,25.2,21.4,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-37,C,12.1,1.5,28.3,29.8,22.08,G,Y,19.4,15.6,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-38,C,12,1.6,29.4,31,20.63,G,N,19.1,15.4,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-39,C,12.3,1.6,36.1,37.7,28.33,G,Y,26.7,21.6,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RC-40,C,12.8,1.9,36.1,38,27.52,G,Y,27.5,23.8,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,OC,RHMA,RD-1,D,12,1.2,30.7,31.9,21.88,G,Y,22.1,18.3,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-2,D,11.4,1.5,32.5,34,22.85,G,Y,22.5,20.9,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-3,D,11.2,1.6,30,31.6,20.29,G,Y,19.3,15.1,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-4,D,12.4,1.8,33.2,35,26.75,G,Y,22.2,18.4,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-5,D,10.9,1.4,28.3,29.7,18.58,G,N,17.7,13.4,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-6,D,11,1.7,29.5,31.2,20.04,G,N,20,17.9,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-7,D,11.6,1.4,29.9,31.3,22.86,B,Y,18.2,16.1,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-8,D,13,1.8,36.1,37.9,30.88,B,Y,25.8,22.6,B,,DIRECT UPLOAD,,
10/26 and 10/27,10/29/2024,OC,RHMA,RD-9,D,11.6,1.2,26.4,27.6,17.51,G,N,17.5,15,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-10,D,12.2,1.6,33.5,35.1,26.49,G,Y,23.6,21,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-11,D,13.6,1.6,29.4,31,25.75,B,N,19.5,17.1,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-12,D,12,1.6,28.8,30.4,19.51,G,Y,18.1,15.7,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-13,D,11.7,1.5,32.3,33.8,24.23,G,Y,22.6,19.8,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-14,D,11.4,1.6,26.8,28.4,17.29,B,N,17.2,12.1,S,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-15,D,2.9,1.6,31.6,33.2,26.89,G,Y,22.4,20,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-16,D,12.2,1.9,42.6,44.5,32.96,G,Y,30.8,26.9,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-17,D,12.7,1.7,40.4,42.1,31.87,G,Y,28.9,26.2,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-18,D,12.9,1.4,34.2,35.6,29.78,G,N,23.8,20.7,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-19,D,11.9,1.3,29.5,30.8,22.28,G,N,19.2,16.7,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,OC,RHMA,RD-20,D,13,1.6,33.7,35.3,29.72,G,Y,23.2,20.8,B,,DIRECT UPLOAD,,Hypocotyl Color not taken and filled in on 10/30 by MA and LG
10/26 and 10/27,10/29/2024,CP,RHMA,RD-21,D,10.4,1.6,25.9,27.5,14.42,G,Y,16.7,13.6,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RD-22,D,10.1,1.6,24.5,26.1,13,G,Y,16.6,12.2,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
10/26 and 10/27,10/29/2024,CP,RHMA,RD-23,D,11.2,1.4,35,36.4,22.38,G,Y,23.3,20.7,B,"KWG,MA",DIRECT UPLOAD,"LG,KWG",
