"Sampling Date 
(mm/dd/yyyy)",Time,Start Time,End Time,Treatment,Tank Number,Salinity Measurement 1,Salinity Measurement 2,Salinity Measurement 3,"Average 
automatically calculated",Collector Initials,Notes,Date Uploaded,Uploader Initials
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,9,36,38,36,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,10,37,37,36,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,11,37,36,36,36,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,12,37,36,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,13,36,36,36,36,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,14,36,36,37,36,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,15,38,35,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,16,37,38,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,17,38,37,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,18,38,38,38,38,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,19,37,36,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,20,37,37,38,37,"HR, AR",,1/17/2025,AR
01/08/2025,10:15,,,,1,39,35,39,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,2,39,39,39,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,3,39,39,38,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,4,39,39,39,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,5,38,38,39,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,6,39,37,38,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,7,38,38,38,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,8,38,38,38,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,9,38,38,39,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,10,39,39,38,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,11,38,39,39,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,12,39,39,38,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,13,39,39,38,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,14,39,39,40,39,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,15,38,38,38,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,16,39,38,38,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,17,38,38,37,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,18,38,38,36,37,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,19,38,38,39,38,"MG, TT",,1/17/2025,AR
01/08/2025,10:15,,,,20,38,38,38,38,"MG, TT",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,1,37,37,37,37,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,2,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,3,37,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,4,40,40,41,40,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,5,38,37,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,6,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,7,38,38,39,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,8,37,39,37,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,9,38,37,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,10,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,11,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,12,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,13,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,14,38,39,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,15,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,16,37,38,39,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,17,38,34,39,37,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,18,37,39,39,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,19,38,38,38,38,"AR, SH",,1/17/2025,AR
1/15/2025,10:25am to 10:50am,10:25,10:50,,20,38,38,38,38,"AR, SH",,1/17/2025,AR
1/22/2025,10:05am to 10:42am,10:05,10:42,,1,37,30,37,35,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,2,36,37,36,36,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,3,37,36,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,4,36,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,5,36,37,38,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,6,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,7,36,36,36,36,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,8,36,37,36,36,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,9,37,36,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,10,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,11,36,36,36,36,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,12,36,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,13,35,36,37,36,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,14,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,15,39,38,38,38,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,16,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,17,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,18,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,19,37,37,37,37,"SH, KR",,03/02/2025,SH
1/22/2025,10:05am to 10:42am,10:05,10:42,,20,37,37,37,37,"SH, KR",,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,1,38,38,38,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,2,37,37,38,37,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,3,37,38,38,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,4,37,38,38,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,5,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,6,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,7,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,8,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,9,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,10,38,38,39,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,11,38,38,39,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,12,38,39,40,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,13,37,38,39,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,14,37,39,39,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,15,38,38,38,38,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,16,38,39,40,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,17,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,18,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,19,38,38,40,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
1/31/2025,10:18am to 10:55am,10:18,10:55,,20,38,39,39,39,SH,RAINED NIGHT BEFORE,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,1,40,39,40,40,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,2,39,39,39,39,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,3,39,39,39,39,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,4,39,39,39,39,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,5,39,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,6,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,7,39,39,39,39,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,8,38,38,39,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,9,38,40,40,39,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,10,38,38,39,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,11,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,12,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,13,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,14,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,15,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,16,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,17,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,18,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,19,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/05/2025,7:50am to 8:45am,07:50,08:45,,20,38,38,38,38,SH,COOL MORNING,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,1,40,39,39,39,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,2,39,39,40,39,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,3,40,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,4,40,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,5,40,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,6,39,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,7,39,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,8,40,39,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,9,39,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,10,40,40,40,40,JS,,03/02/2025,SH
02/12/2025,10:20am to 11:30am,10:20,11:30,,11,39,39,40,39,JS,,03/02/2025,SH
