Data_Uploaded,Date_Uploaded,Monitored_By,Date_Monitored,Location,Replicate,Site,Species,Treatment,Prop_ID,Time_Period,Survivorship,Condition,Pests,Leaf_Color,RHMA_Height_1,RHMA_Height_2,RHMA_Epi_Length,LARA_Height_1,LARA_Height_2,Number_Branches,Leaves_Main,Leaves_Branches,Total_Leaves,Nodes_Main,Nodes_Branches,Total_Nodes,Notes,...29
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,LARA,E,LE-51,1,D,-,-,-,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,brown root,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,LARA,E,LE-54,1,DY,W,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,has small root; turning brown,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,VB,LARA,E,LE-12,1,A,H,NA,G,NA,NA,NA,5.2,-3,0,2,0,2,1,0,1,epicotyl purple and curved,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,VB,LARA,E,LE-13,1,A,H,NA,G,NA,NA,NA,7.8,-0.5,0,4,0,4,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,LARA,E,LE-55,1,DY,W,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,not sprouted,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,MB,LARA,E,LE-35,1,DY,W,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,brown root; no leaves,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,MB,LARA,E,LE-32,1,DY,W,NA,B,NA,NA,NA,2.5,-2.1,0,-,0,#VALUE!,1,0,1,brown stem,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,LARA,E,LE-52,1,DY,W,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,brown root,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,MB,LARA,E,LE-34,1,A,H,NA,G,NA,NA,NA,6,1,0,1,0,1,1,0,1,curled epicotyl,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,LARA,E,LE-53,1,DY,W,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,not sprouted,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,VB,LARA,E,LE-14,1,A,W,NA,NA,NA,NA,NA,2.2,-4,0,-,0,#VALUE!,-,0,#VALUE!,stem turning brown,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,VB,LARA,E,LE-11,1,DY,W,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,brown root,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,OC,RHMA,E,RE-3,1,A,H,NA,G,26.5,16.3,4,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,OC,RHMA,E,RE-4,1,A,H,NA,NA,21.4,9.7,1.3,NA,NA,0,0,0,0,1,0,1,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,RHMA,E,RE-44,1,A,H,NA,G,20,11.1,5.2,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,OC,RHMA,E,RE-1,1,A,H,NA,G,27.3,17.5,2.6,NA,NA,0,0,0,0,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,RHMA,E,RE-45,1,A,H,NA,G,18.6,8.6,5,NA,NA,0,3,0,3,2,0,2,extra thick lower leaf,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,RHMA,E,RE-42,1,A,H,NA,G,19.5,12.5,2.1,NA,NA,0,0,0,0,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,CP,RHMA,E,RE-22,1,A,H,NA,G,24,13.4,2,NA,NA,0,0,0,0,1,0,1,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,OC,RHMA,E,RE-5,1,A,H,NA,G,28.6,20.4,3.6,NA,NA,0,0,0,0,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,CP,RHMA,E,RE-24,1,A,H,NA,G,22.5,13.6,4.7,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,CP,RHMA,E,RE-21,1,A,H,NA,G,19,10,4,NA,NA,0,0,0,0,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,CP,RHMA,E,RE-23,1,A,H,NA,G,20.1,12.5,4.7,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,RHMA,E,RE-41,1,A,H,NA,G,22.3,13,3.4,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,RHMA,E,RE-43,1,A,H,NA,G,19.2,8.9,3.4,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,OC,RHMA,E,RE-2,1,A,H,NA,G,18.4,10,3.6,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,CP,RHMA,E,RE-25,1,A,H,NA,G,21.2,11.3,3.6,NA,NA,0,2,0,2,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,LARA,E,LE-45,1,A,P,B,G,NA,NA,NA,5.3,-1.5,0,2,0,2,1,0,1,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,MB,LARA,E,LE-22,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,MB,LARA,E,LE-25,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,VB,LARA,E,LE-3,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,not sprouted,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,MB,LARA,E,LE-21,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,brown root,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,VB,LARA,E,LE-2,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,MB,LARA,E,LE-23,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,MB,LARA,E,LE-24,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,VB,LARA,E,LE-1,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,LARA,E,LE-44,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,LARA,E,LE-41,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,LARA,E,LE-42,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,PR,LARA,E,LE-43,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/08/2024,"ZG, SH, AR",12/02/2024,2,1,VB,LARA,E,LE-5,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/11/2024,SH,12/11/2024,2,1,VB,LARA,E,LE-4,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,not sprouted,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,MB,LARA,C,LC-35,1,DY,UH,NA,NA,NA,NA,NA,0,0,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,LARA,C,LC-57,1,A,H,NA,NA,NA,NA,NA,7,1.5,0,2,0,2,1,0,1,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,LARA,C,LC-58,1,A,H,NA,NA,NA,NA,NA,6.5,0.5,0,2,0,2,1,0,1,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,MB,LARA,C,LC-39,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,VB,LARA,C,LC-16,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,MB,LARA,C,LC-40,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,VB,LARA,C,LC-17,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,LARA,C,LC-56,1,A,H,NA,NA,NA,NA,NA,8,3,0,2,0,2,1,0,1,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,MB,LARA,C,LC-38,1,A,H,NA,NA,NA,NA,NA,NA,NA,0,NA,0,#VALUE!,NA,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,VB,LARA,C,LC-19,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,VB,LARA,C,LC-18,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,VB,LARA,C,LC-20,1,A,H,NA,NA,NA,NA,NA,7.3,1.6,0,4,0,4,1,0,1,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,LARA,C,LC-60,1,A,H,NA,NA,NA,NA,NA,5.1,0.1,0,2,0,2,1,0,1,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,MB,LARA,C,LC-37,1,A,H,NA,NA,NA,NA,NA,6,0.1,0,2,0,2,1,0,1,NA,NA
SH,12/11/2024,SH,12/11/2024,3,4,PR,LARA,C,LC-59,1,A,H,NA,G,NA,NA,NA,7.1,0.7,0,2,0,2,2,0,2,only 1 leaf on both nodes,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,RHMA,C,RC-60,1,A,D,NA,G,23,14.3,4.1,NA,NA,0,2,0,2,2,0,2,brown spots,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,RHMA,C,RC-56,1,A,D,NA,G,24.5,16,7.5,NA,NA,0,2,0,2,2,0,2,brown spots; LCP,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,CP,RHMA,C,RC-38,1,A,D,NA,G,21.5,16.5,4.4,NA,NA,0,2,0,2,2,0,2,brown spots,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,OC,RHMA,C,RC-16,1,A,D,NA,G,22.3,13,3.2,NA,NA,0,0,0,0,1,0,1,brown spots; LCP,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,OC,RHMA,C,RC-17,1,A,D,NA,G,31,21,1.6,NA,NA,0,0,0,0,1,0,1,brown spots,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,RHMA,C,RC-59,1,A,D,NA,G,28.7,21.2,4.9,NA,NA,0,2,0,2,2,0,2,brown spots,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,CP,RHMA,C,RC-39,1,A,H,NA,G,32.1,24.1,5.3,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,CP,RHMA,C,RC-37,1,A,H,NA,G,24.3,18,5.3,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,OC,RHMA,C,RC-19,1,A,D,NA,G,35,25.9,6.9,NA,NA,0,2,0,2,2,0,2,brown spots,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,RHMA,C,RC-58,1,A,D,NA,G,28.3,19.3,4.5,NA,NA,0,2,0,2,2,0,2,brown spots,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,OC,RHMA,C,RC-18,1,A,D,NA,G,19.8,15,3.2,NA,NA,0,0,0,0,1,0,1,brown spots; LCP,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,OC,RHMA,C,RC-20,1,A,H,NA,G,32.5,23,5,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,PR,RHMA,C,RC-57,1,DY,"W, D",NA,B,31,22.2,1.7,NA,NA,0,0,0,0,1,0,1,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,CP,RHMA,C,RC-40,1,A,H,NA,G,31.2,25,3.9,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SH, AR, SS",12/02/2024,3,4,CP,RHMA,C,RC-36,1,A,H,NA,G,29.5,23.5,4,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,OC,RHMA,A,RA-19,1,A,H,NA,G,25,22.2,2.3,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,OC,RHMA,A,RA-16,1,A,H,NA,G,38.3,35.3,6.5,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,RHMA,A,RA-56,1,A,H,NA,G,25,21.5,8.5,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,CP,RHMA,A,RA-38,1,A,H,NA,G,23,19.1,6,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,RHMA,A,RA-57,1,A,H,NA,G,23.7,19.5,8.5,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,CP,RHMA,A,RA-40,1,A,H,NA,G,17.5,14.3,7.6,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,CP,RHMA,A,RA-36,1,A,H,NA,"B, G",18.3,15.5,6.5,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,OC,RHMA,A,RA-20,1,A,H,NA,G,28,24.6,9.5,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,RHMA,A,RA-59,1,A,H,NA,G,21,17.3,8,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,RHMA,A,RA-58,1,A,H,NA,G,22.3,18.5,10.5,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,RHMA,A,RA-60,1,A,H,NA,G,21,16.7,6.4,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,CP,RHMA,A,RA-37,1,A,H,NA,G,20.1,16,8.1,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,CP,RHMA,A,RA-39,1,A,H,NA,G,26.3,23.3,12.2,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,OC,RHMA,A,RA-17,1,A,H,NA,G,25.1,27,8,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/11/2024,SH,12/11/2024,4,4,OC,RHMA,A,RA-18,1,A,H,NA,G,28.6,26.4,12.4,NA,NA,0,4,0,4,3,0,3,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,MB,LARA,A,LA-38,1,A,H,NA,NA,NA,NA,NA,-,-,0,0,0,0,0,0,0,no sprout; green root,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,MB,LARA,A,LA-40,1,A,H,NA,G,NA,NA,NA,7.8,3.9,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,LARA,A,LA-58,1,A,H,NA,G,NA,NA,NA,8.5,5,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,VB,LARA,A,LA-20,1,A,H,NA,G,NA,NA,NA,10.2,6.3,0,6,0,6,3,0,3,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,LARA,A,LA-60,1,A,H,NA,G,NA,NA,NA,8,4,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,LARA,A,LA-56,1,A,H,NA,G,NA,NA,NA,6.5,3,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,MB,LARA,A,LA-39,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,MB,LARA,A,LA-37,1,A,H,NA,G,NA,NA,NA,9.8,6,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,VB,LARA,A,LA-19,1,A,H,NA,G,NA,NA,NA,9.8,5.9,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,VB,LARA,A,LA-16,1,A,H,NA,G,NA,NA,NA,5,1.5,0,2,0,2,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,VB,LARA,A,LA-17,1,A,H,NA,G,NA,NA,NA,3.5,0.5,0,2,0,2,1,0,1,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,VB,LARA,A,LA-18,1,A,UH,NA,G,NA,NA,NA,4.3,1.5,0,5,0,5,3,0,3,"freak, squiggle leaves; maybe 1 branch?",NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,LARA,A,LA-57,1,A,H,NA,G,NA,NA,NA,7.3,4.6,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,MB,LARA,A,LA-36,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,freak; squiggle leaves,NA
SH,12/09/2024,"SS, AR",12/02/2024,4,4,PR,LARA,A,LA-59,1,A,H,NA,G,NA,NA,NA,8.3,3.5,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,LARA,C,LC-48,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,VB,LARA,C,LC-7,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,VB,LARA,C,LC-8,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,MB,LARA,C,LC-27,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,MB,LARA,C,LC-29,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,MB,LARA,C,LC-30,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,VB,LARA,C,LC-10,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,LARA,C,LC-50,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,VB,LARA,C,LC-9,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,LARA,C,LC-47,1,A,H,NA,G,NA,NA,NA,5.5,-0.3,0,2,0,2,1,0,1,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,LARA,C,LC-49,1,A,H,NA,G,NA,NA,NA,5.1,-2.3,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,VB,LARA,C,LC-5,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,MB,LARA,C,LC-28,1,DY,UH,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,bald; no leaves,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,LARA,C,LC-46,1,A,H,NA,G,NA,NA,NA,6.1,0.5,0,4,0,4,2,0,2,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,MB,LARA,C,LC-25,1,D,NA,NA,NA,NA,NA,NA,-,-,0,-,0,#VALUE!,-,0,#VALUE!,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,RHMA,C,RC-50,1,A,D,NA,G,31.5,25.9,3.3,NA,NA,0,2,0,2,2,0,2,black spots,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,OC,RHMA,C,RC-10,1,A,D,NA,G,32.2,24.2,3.5,NA,NA,0,2,0,2,1,0,1,LCP; black spots,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,CP,RHMA,C,RC-28,1,A,D,NA,G,31,22.3,4.6,NA,NA,0,2,0,2,2,0,2,black spots,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,RHMA,C,RC-47,1,A,D,NA,G,29.5,22.3,4.1,NA,NA,0,0,0,0,2,0,2,black spots,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,OC,RHMA,C,RC-6,1,A,H,NA,NA,30,24.6,2,NA,NA,0,0,0,0,1,0,1,NA,NA
SH,12/09/2024,"SS, AR",12/02/2024,5,2,PR,RHMA,C,RC-48,1,A,H/D,NA,G,34.5,25.7,5.3,NA,NA,0,2,0,2,2,0,2,black spots?,NA
