site,treatment,trait,n,mean,sd,mean_sd
PR,75% SG,rad_length,20,0.41000000000000003,0.7876681107113446,0.41 ± 0.79
PR,75% SG,total_length,20,2.3925,0.7787092897190432,2.39 ± 0.78
PR,75% SG,width,20,1.2405,0.16014713629396526,1.24 ± 0.16
PR,Crushed glass,mass,20,0.7375,0.1562681568397902,0.74 ± 0.16
PR,Crushed glass,prop_length,20,2.12,0.44791916563970385,2.12 ± 0.45
PR,Crushed glass,rad_length,20,0.445,0.8223682105262888,0.44 ± 0.82
PR,Crushed glass,total_length,20,2.565,0.6417697570411305,2.56 ± 0.64
PR,Crushed glass,width,20,1.215,0.1631111987507134,1.22 ± 0.16
PR,Soil,mass,20,0.735,0.11541686458910132,0.73 ± 0.12
PR,Soil,prop_length,20,1.9915,0.20665952166483118,1.99 ± 0.21
PR,Soil,rad_length,20,0.334,0.39064588891516033,0.33 ± 0.39
PR,Soil,total_length,20,2.3255,0.4225919395450191,2.33 ± 0.42
PR,Soil,width,20,1.269,0.11552625584460742,1.27 ± 0.12
VB,100% Sargassum (SG),mass,20,0.3405,0.08774814437984009,0.34 ± 0.09
VB,100% Sargassum (SG),prop_length,20,1.821,0.26193410179701787,1.82 ± 0.26
VB,100% Sargassum (SG),rad_length,20,0.325,0.5680113045576322,0.32 ± 0.57
VB,100% Sargassum (SG),total_length,20,2.146,0.7900059959799106,2.15 ± 0.79
VB,100% Sargassum (SG),width,20,0.9625,0.16970175075857735,0.96 ± 0.17
VB,25% SG,mass,20,0.6895,0.2621063464361465,0.69 ± 0.26
VB,25% SG,prop_length,20,2.1189999999999998,0.3725573074956671,2.12 ± 0.37
VB,25% SG,rad_length,20,0.55,0.5021008495888996,0.55 ± 0.50
VB,25% SG,total_length,20,2.669,0.8025348000324708,2.67 ± 0.80
VB,25% SG,width,20,1.0455,0.1319280106724876,1.05 ± 0.13
VB,75% SG,mass,20,0.5235,0.15509844072649306,0.52 ± 0.16
VB,75% SG,prop_length,20,1.96,0.28543595465625266,1.96 ± 0.29
VB,75% SG,rad_length,20,0.365,0.40558599581346494,0.36 ± 0.41
VB,75% SG,total_length,20,2.325,0.526032818667989,2.33 ± 0.53
VB,75% SG,width,20,1.04,0.2392972166464475,1.04 ± 0.24
VB,Crushed glass,mass,20,0.6425,0.2797719936324089,0.64 ± 0.28
VB,Crushed glass,prop_length,20,2.13,0.34197568396167094,2.13 ± 0.34
VB,Crushed glass,rad_length,20,0.14,0.20104987598001384,0.14 ± 0.20
VB,Crushed glass,total_length,20,2.27,0.47914397352822985,2.27 ± 0.48
VB,Crushed glass,width,20,1.135,0.1460893742308382,1.14 ± 0.15
VB,Soil,mass,20,0.649,0.24028272820509636,0.65 ± 0.24
VB,Soil,prop_length,20,2.1165,0.2610560536702697,2.12 ± 0.26
VB,Soil,rad_length,20,0.2415,0.2975739624999048,0.24 ± 0.30
VB,Soil,total_length,20,2.358,0.5075182133107198,2.36 ± 0.51
VB,Soil,width,20,1.0965,0.15482672827865895,1.10 ± 0.15
