site,treatment,trait,n,mean,sd,mean_sd
OC,100% Sargassum (SG),mass,20,23.7075,5.781533101176539,23.71 ± 5.78
OC,100% Sargassum (SG),total_height,20,33.54,3.500436063061136,33.54 ± 3.50
OC,25% SG,diameter,20,12.515,0.6915086481934377,12.52 ± 0.69
OC,25% SG,epi_length,20,1.67,0.22734161635370628,1.67 ± 0.23
OC,25% SG,hypo_length,20,35.585,3.8495761899338037,35.59 ± 3.85
OC,25% SG,mass,20,28.641000000000002,5.100433314925311,28.64 ± 5.10
OC,25% SG,total_height,20,37.255,3.97948356871645,37.26 ± 3.98
OC,75% SG,diameter,20,11.58,2.1688221397072214,11.58 ± 2.17
OC,75% SG,epi_length,20,1.55,0.1905670209498071,1.55 ± 0.19
OC,75% SG,hypo_length,20,31.97,4.125160283967285,31.97 ± 4.13
OC,75% SG,mass,20,24.4205,4.885934134678962,24.42 ± 4.89
OC,75% SG,total_height,20,33.52,4.24209481518891,33.52 ± 4.24
OC,Crushed glass,diameter,20,12.845,0.9213691185575839,12.85 ± 0.92
OC,Crushed glass,epi_length,20,1.705,0.20384462607326043,1.71 ± 0.20
OC,Crushed glass,hypo_length,20,34.745,3.5955345111753036,34.74 ± 3.60
OC,Crushed glass,mass,20,28.777,4.855413798832673,28.78 ± 4.86
OC,Crushed glass,total_height,20,36.45,3.6482872693909405,36.45 ± 3.65
OC,Soil,diameter,20,12.765,0.8418494677291124,12.77 ± 0.84
OC,Soil,epi_length,20,1.85,0.2800375914615374,1.85 ± 0.28
OC,Soil,hypo_length,20,35.71,4.478357311618438,35.71 ± 4.48
OC,Soil,mass,20,28.357,6.160378576883593,28.36 ± 6.16
OC,Soil,total_height,20,37.56,4.664919472425062,37.56 ± 4.66
PR,100% Sargassum (SG),diameter,20,11.75,1.6503588126605426,11.75 ± 1.65
PR,100% Sargassum (SG),epi_length,20,1.435,0.22774639635487448,1.44 ± 0.23
PR,100% Sargassum (SG),hypo_length,20,25.705000000000002,3.0839951873810496,25.71 ± 3.08
PR,100% Sargassum (SG),mass,20,17.915,4.946894294190521,17.91 ± 4.95
PR,100% Sargassum (SG),total_height,20,27.14,3.1439833935546426,27.14 ± 3.14
PR,25% SG,diameter,20,14.1,0.8926601286397629,14.10 ± 0.89
PR,25% SG,epi_length,20,1.935,0.21095023109728983,1.94 ± 0.21
PR,25% SG,hypo_length,20,34.095,4.543529233397409,34.09 ± 4.54
PR,25% SG,mass,20,28.077,6.0568987200764015,28.08 ± 6.06
PR,25% SG,total_height,20,36.03,4.6997312353166025,36.03 ± 4.70
PR,75% SG,diameter,20,12.969999999999999,1.0969335248294387,12.97 ± 1.10
PR,75% SG,epi_length,20,1.785,0.2996050031203365,1.78 ± 0.30
PR,75% SG,hypo_length,20,33.07,7.618474774831038,33.07 ± 7.62
PR,75% SG,mass,20,26.769000000000002,10.302775252073435,26.77 ± 10.30
PR,75% SG,total_height,20,34.35,7.395268757793728,34.35 ± 7.40
PR,Crushed glass,diameter,20,13.7,1.1220282386914568,13.70 ± 1.12
PR,Crushed glass,epi_length,20,1.84,0.17888543819998315,1.84 ± 0.18
PR,Crushed glass,hypo_length,20,32.02,3.1839399624067233,32.02 ± 3.18
PR,Crushed glass,mass,20,25.82,4.769220393093062,25.82 ± 4.77
PR,Crushed glass,total_height,20,33.86,3.3015785698104443,33.86 ± 3.30
PR,Soil,diameter,20,14.235,1.0027724724876264,14.23 ± 1.00
PR,Soil,epi_length,20,1.815,0.21095023109728991,1.81 ± 0.21
PR,Soil,hypo_length,20,31.33,2.99123280341242,31.33 ± 2.99
PR,Soil,mass,20,26.853,4.946373578587385,26.85 ± 4.95
PR,Soil,total_height,20,33.145,3.11709632088651,33.15 ± 3.12
